CustomerKey,last_order_date,recency_days,frequency,monetary,R_score,F_score,M_score,FM_score,rfm_score_label,segment
48383,2021-01-13,39,1,611.52,5,1,1,1,511,New Customers
48466,2019-07-05,597,3,6746.09,3,4,4,4,344,Loyal Customers
48733,2018-09-01,904,1,3753.76,1,1,3,2,113,Lost
49400,2020-02-20,367,2,2062.38,4,2,2,2,422,Potential Loyalists
49606,2016-08-30,1636,1,1198.0,1,1,2,2,112,Lost
49776,2019-09-16,524,2,5856.0,3,2,4,3,324,Need Attention
49950,2019-08-21,550,1,7963.99,3,1,5,3,315,Need Attention
50075,2016-06-22,1705,1,2272.8500000000004,1,1,3,2,113,Lost
50681,2016-06-25,1702,1,624.0,1,1,1,1,111,Lost
50741,2017-08-12,1289,1,25.32,1,1,1,1,111,Lost
51172,2019-11-07,472,2,1253.0,3,2,2,2,322,Need Attention
51314,2019-02-21,731,2,9649.83,2,2,5,4,225,At Risk
51718,2019-09-05,535,1,3299.99,3,1,3,2,313,Need Attention
52536,2018-11-09,835,1,768.96,2,1,1,1,211,About To Sleep
52694,2018-08-08,928,1,4761.57,1,1,4,2,114,Lost
53318,2017-02-22,1460,1,2149.98,1,1,2,2,112,Lost
53920,2018-01-06,1142,2,757.54,1,2,1,2,121,Lost
54089,2017-01-12,1501,2,15182.99,1,2,5,4,125,Can't Lose Them
54161,2019-06-11,621,1,462.0,2,1,1,1,211,About To Sleep
54752,2019-07-24,578,1,320.0,3,1,1,1,311,Promising
54987,2018-10-23,852,1,2440.98,2,1,3,2,213,About To Sleep
55039,2019-06-05,627,2,4662.75,2,2,4,3,224,At Risk
55066,2019-10-10,500,1,4413.79,3,1,4,2,314,Need Attention
55084,2018-11-01,843,1,3498.8,2,1,3,2,213,About To Sleep
55411,2018-10-06,869,2,1790.48,2,2,2,2,222,About To Sleep
55914,2019-10-11,499,2,791.57,3,2,1,2,321,Need Attention
56791,2018-11-03,841,1,841.97,2,1,1,1,211,About To Sleep
56834,2020-05-13,284,1,25.69,5,1,1,1,511,New Customers
56999,2019-02-01,751,1,854.79,2,1,2,2,212,About To Sleep
57307,2019-11-29,450,1,966.6999999999999,3,1,2,2,312,Need Attention
57374,2019-05-21,642,1,1800.0,2,1,2,2,212,About To Sleep
58066,2018-06-25,972,2,477.78000000000003,1,2,1,2,121,Lost
58710,2019-05-05,658,2,309.28,2,2,1,2,221,About To Sleep
58919,2016-12-17,1527,1,2889.99,1,1,3,2,113,Lost
59159,2021-02-20,1,2,7852.53,5,2,5,4,525,Loyal Customers
59304,2017-01-02,1511,1,5851.47,1,1,4,2,114,Lost
59422,2019-08-19,552,2,1447.76,3,2,2,2,322,Need Attention
59529,2018-04-28,1030,1,2838.96,1,1,3,2,113,Lost
59842,2020-10-21,123,1,2497.85,5,1,3,2,513,Potential Loyalists
59961,2019-09-03,537,1,437.94,3,1,1,1,311,Promising
60150,2017-02-04,1478,1,959.1999999999999,1,1,2,2,112,Lost
60407,2018-05-08,1020,1,1405.78,1,1,2,2,112,Lost
60411,2019-02-04,748,2,2309.67,2,2,3,2,223,About To Sleep
60454,2018-02-22,1095,1,1989.0,1,1,2,2,112,Lost
60722,2019-07-29,573,1,3313.85,3,1,3,2,313,Need Attention
60892,2020-08-27,178,1,1729.87,5,1,2,2,512,Potential Loyalists
61718,2020-12-30,53,2,4645.14,5,2,4,3,524,Potential Loyalists
61773,2020-06-04,262,3,1805.91,5,4,2,3,542,Potential Loyalists
61881,2021-01-02,50,2,2887.1600000000003,5,2,3,2,523,Potential Loyalists
61947,2019-10-12,498,2,2507.71,3,2,3,2,323,Need Attention
62017,2020-09-02,172,1,479.97,5,1,1,1,511,New Customers
62076,2019-12-25,424,1,1199.96,4,1,2,2,412,Potential Loyalists
62125,2018-01-19,1129,1,899.95,1,1,2,2,112,Lost
62163,2019-02-15,737,3,5496.9400000000005,2,4,4,4,244,At Risk
62416,2019-08-20,551,2,1997.94,3,2,2,2,322,Need Attention
62590,2021-01-12,40,1,556.0,5,1,1,1,511,New Customers
63342,2020-01-29,389,1,9301.25,4,1,5,3,415,Loyal Customers
63681,2019-02-14,738,1,2916.98,2,1,3,2,213,About To Sleep
64037,2019-07-04,598,1,13.89,3,1,1,1,311,Promising
64511,2018-10-23,852,2,11205.0,2,2,5,4,225,At Risk
64764,2019-11-08,471,2,7258.99,3,2,4,3,324,Need Attention
64842,2019-11-17,462,1,6934.98,3,1,4,2,314,Need Attention
65163,2019-10-26,484,2,229.64,3,2,1,2,321,Need Attention
65180,2019-06-08,624,1,11362.4,2,1,5,3,215,At Risk
65269,2020-01-04,414,4,7731.15,4,5,5,5,455,Champions
65283,2019-03-06,718,2,4496.4,2,2,4,3,224,At Risk
65372,2020-12-29,54,3,5865.28,5,4,4,4,544,Loyal Customers
65507,2019-10-05,505,1,379.94,3,1,1,1,311,Promising
66352,2019-07-29,573,1,899.0,3,1,2,2,312,Need Attention
67066,2020-01-29,389,2,8724.84,4,2,5,4,425,Loyal Customers
67157,2020-03-06,352,2,10420.96,4,2,5,4,425,Loyal Customers
67217,2020-01-01,417,2,4502.91,4,2,4,3,424,Loyal Customers
67369,2020-01-10,408,1,2765.4,4,1,3,2,413,Potential Loyalists
67455,2019-05-15,648,1,5073.0,2,1,4,2,214,About To Sleep
67744,2019-05-14,649,1,118.0,2,1,1,1,211,About To Sleep
68082,2018-02-23,1094,1,1182.99,1,1,2,2,112,Lost
68537,2017-09-02,1268,1,1183.68,1,1,2,2,112,Lost
68882,2018-01-09,1139,1,74.97,1,1,1,1,111,Lost
69066,2019-12-17,432,1,210.68,4,1,1,1,411,New Customers
69557,2019-03-02,722,1,3359.49,2,1,3,2,213,About To Sleep
69645,2017-07-10,1322,1,199.95,1,1,1,1,111,Lost
69707,2019-07-10,592,2,1543.23,3,2,2,2,322,Need Attention
69754,2021-01-29,23,1,139.0,5,1,1,1,511,New Customers
69812,2019-07-25,577,1,1606.96,3,1,2,2,312,Need Attention
69959,2021-01-22,30,3,5509.88,5,4,4,4,544,Loyal Customers
70453,2019-02-27,725,2,2981.7200000000003,2,2,3,2,223,About To Sleep
70544,2017-06-23,1339,1,84.0,1,1,1,1,111,Lost
70584,2019-11-30,449,1,7569.65,3,1,5,3,315,Need Attention
70598,2020-10-05,139,1,1360.0,5,1,2,2,512,Potential Loyalists
70912,2020-07-08,228,3,27219.2,5,4,5,4,545,Loyal Customers
71218,2017-10-10,1230,2,14296.89,1,2,5,4,125,Can't Lose Them
71220,2019-03-15,709,1,249.98,2,1,1,1,211,About To Sleep
71282,2019-10-11,499,1,444.01,3,1,1,1,311,Promising
71333,2018-11-28,816,2,14154.279999999999,2,2,5,4,225,At Risk
71343,2018-10-21,854,1,758.8499999999999,2,1,1,1,211,About To Sleep
71511,2019-07-02,600,3,3553.6,3,4,3,4,343,Loyal Customers
71625,2018-11-06,838,2,3991.77,2,2,3,2,223,About To Sleep
72003,2020-01-17,401,2,3213.71,4,2,3,2,423,Potential Loyalists
72194,2020-02-07,380,1,76.95,4,1,1,1,411,New Customers
72812,2019-08-28,543,2,9284.86,3,2,5,4,325,Loyal Customers
72826,2019-07-17,585,1,683.95,3,1,1,1,311,Promising
73070,2019-01-29,754,2,6165.92,2,2,4,3,224,At Risk
73636,2020-05-11,286,1,204.0,5,1,1,1,511,New Customers
73704,2017-03-06,1448,1,456.99,1,1,1,1,111,Lost
74071,2019-01-18,765,2,5982.15,2,2,4,3,224,At Risk
74581,2016-06-16,1711,1,774.0,1,1,1,1,111,Lost
74585,2019-11-13,466,2,4151.98,3,2,4,3,324,Need Attention
74687,2016-12-20,1524,1,2810.0,1,1,3,2,113,Lost
74845,2020-05-23,274,2,879.6500000000001,5,2,2,2,522,Potential Loyalists
74871,2019-10-26,484,1,3876.0,3,1,3,2,313,Need Attention
75555,2018-12-26,788,2,7109.42,2,2,4,3,224,At Risk
75706,2020-01-28,390,2,7039.0199999999995,4,2,4,3,424,Loyal Customers
75965,2018-11-24,820,2,6425.54,2,2,4,3,224,At Risk
75976,2018-05-14,1014,1,2352.9300000000003,1,1,3,2,113,Lost
75991,2019-07-10,592,1,1509.8899999999999,3,1,2,2,312,Need Attention
76013,2020-07-25,211,2,1387.52,5,2,2,2,522,Potential Loyalists
76021,2018-12-01,813,3,10817.92,2,4,5,4,245,At Risk
76149,2019-09-07,533,1,71.16,3,1,1,1,311,Promising
76499,2018-11-18,826,1,44.0,2,1,1,1,211,About To Sleep
76560,2020-02-20,367,2,8687.4,4,2,5,4,425,Loyal Customers
76714,2018-11-14,830,2,4949.51,2,2,4,3,224,At Risk
76891,2020-12-24,59,1,9389.8,5,1,5,3,515,Potential Loyalists
76979,2016-12-27,1517,1,549.75,1,1,1,1,111,Lost
77150,2020-03-02,356,2,6831.48,4,2,4,3,424,Loyal Customers
77290,2017-07-06,1326,1,399.99,1,1,1,1,111,Lost
77534,2018-07-22,945,1,2706.8900000000003,1,1,3,2,113,Lost
78097,2019-07-24,578,2,787.61,3,2,1,2,321,Need Attention
78428,2020-08-29,176,3,10616.26,5,4,5,4,545,Loyal Customers
78578,2020-01-08,410,1,540.0,4,1,1,1,411,New Customers
78616,2018-12-08,806,1,336.0,2,1,1,1,211,About To Sleep
79131,2017-07-25,1307,2,4287.48,1,2,4,3,124,At Risk
79191,2020-04-29,298,1,6758.35,5,1,4,2,514,Potential Loyalists
79245,2020-01-23,395,1,3497.0,4,1,3,2,413,Potential Loyalists
80029,2019-01-30,753,1,519.98,2,1,1,1,211,About To Sleep
80128,2017-03-04,1450,1,91.56,1,1,1,1,111,Lost
80155,2019-01-21,762,2,471.94,2,2,1,2,221,About To Sleep
80172,2020-02-06,381,3,11351.95,4,4,5,4,445,Loyal Customers
80273,2019-05-18,645,1,1845.97,2,1,2,2,212,About To Sleep
80598,2020-01-30,388,1,999.8,4,1,2,2,412,Potential Loyalists
81018,2017-03-15,1439,2,20727.46,1,2,5,4,125,Can't Lose Them
81720,2019-05-29,634,2,14782.869999999999,2,2,5,4,225,At Risk
82415,2020-08-07,198,3,3467.87,5,4,3,4,543,Loyal Customers
82533,2017-08-11,1290,2,409.85,1,2,1,2,121,Lost
82644,2020-06-17,249,3,5438.33,5,4,4,4,544,Loyal Customers
83643,2019-11-18,461,1,604.0,3,1,1,1,311,Promising
83651,2020-01-08,410,1,737.02,4,1,1,1,411,New Customers
83690,2016-09-13,1622,1,265.98,1,1,1,1,111,Lost
83705,2016-09-29,1606,1,3291.88,1,1,3,2,113,Lost
83985,2019-08-19,552,2,3477.5,3,2,3,2,323,Need Attention
84085,2019-11-19,460,1,6503.99,3,1,4,2,314,Need Attention
85080,2021-02-10,11,1,1152.0,5,1,2,2,512,Potential Loyalists
85124,2019-10-29,481,1,299.0,3,1,1,1,311,Promising
85265,2019-06-07,625,3,1713.8400000000001,2,4,2,3,242,At Risk
85430,2019-02-28,724,1,470.0,2,1,1,1,211,About To Sleep
85597,2017-10-07,1233,2,5794.93,1,2,4,3,124,At Risk
85609,2019-01-12,771,2,476.3,2,2,1,2,221,About To Sleep
85804,2018-05-12,1016,1,6339.95,1,1,4,2,114,Lost
85861,2020-01-08,410,2,236.33,4,2,1,2,421,Potential Loyalists
85974,2020-12-23,60,3,7581.15,5,4,5,4,545,Loyal Customers
86036,2020-02-15,372,1,2046.54,4,1,2,2,412,Potential Loyalists
86126,2018-11-09,835,2,4689.83,2,2,4,3,224,At Risk
86267,2020-11-03,110,1,3023.0,5,1,3,2,513,Potential Loyalists
86465,2019-11-08,471,2,85.97,3,2,1,2,321,Need Attention
86472,2019-06-29,603,1,2664.8,3,1,3,2,313,Need Attention
86475,2019-08-14,557,2,4917.72,3,2,4,3,324,Need Attention
87229,2019-06-15,617,1,499.9,2,1,1,1,211,About To Sleep
87690,2020-09-28,146,1,1425.04,5,1,2,2,512,Potential Loyalists
87891,2019-01-10,773,1,443.37,2,1,1,1,211,About To Sleep
88047,2018-06-06,991,1,879.6,1,1,2,2,112,Lost
88785,2019-08-29,542,2,2187.98,3,2,3,2,323,Need Attention
88791,2017-02-24,1458,1,4064.0,1,1,3,2,113,Lost
88897,2019-07-02,600,2,4086.18,3,2,4,3,324,Need Attention
89416,2019-07-08,594,1,897.0,3,1,2,2,312,Need Attention
89721,2018-07-05,962,2,4214.93,1,2,4,3,124,At Risk
89946,2019-06-12,620,2,3311.92,2,2,3,2,223,About To Sleep
90037,2018-12-29,785,1,865.98,2,1,2,2,212,About To Sleep
90079,2019-12-21,428,3,770.06,4,4,1,2,441,Potential Loyalists
90316,2019-12-26,423,2,4917.1900000000005,4,2,4,3,424,Loyal Customers
90893,2018-01-05,1143,1,7273.540000000001,1,1,4,2,114,Lost
91218,2018-07-14,953,1,118.6,1,1,1,1,111,Lost
91545,2018-11-09,835,1,479.97,2,1,1,1,211,About To Sleep
91756,2019-01-05,778,1,265.65000000000003,2,1,1,1,211,About To Sleep
91913,2019-06-29,603,1,1174.7,3,1,2,2,312,Need Attention
91918,2020-05-06,291,2,476.6,5,2,1,2,521,Potential Loyalists
92275,2017-09-02,1268,1,2249.98,1,1,3,2,113,Lost
92311,2018-12-17,797,1,1608.95,2,1,2,2,212,About To Sleep
92920,2018-09-12,893,1,6696.9,1,1,4,2,114,Lost
93314,2019-05-27,636,3,10143.55,2,4,5,4,245,At Risk
93339,2017-03-04,1450,1,12421.56,1,1,5,3,115,At Risk
93389,2019-09-21,519,2,149.88,3,2,1,2,321,Need Attention
93788,2018-09-06,899,1,470.0,1,1,1,1,111,Lost
94554,2018-12-15,799,1,5360.92,2,1,4,2,214,About To Sleep
94758,2019-06-19,613,2,4150.81,2,2,4,3,224,At Risk
95043,2019-02-27,725,2,983.75,2,2,2,2,222,About To Sleep
95275,2018-02-24,1093,1,1807.68,1,1,2,2,112,Lost
96331,2020-12-26,57,3,3654.3100000000004,5,4,3,4,543,Loyal Customers
96631,2019-11-05,474,1,232.0,3,1,1,1,311,Promising
97219,2020-01-20,398,1,349.0,4,1,1,1,411,New Customers
97228,2016-04-29,1759,1,809.96,1,1,1,1,111,Lost
97611,2019-06-14,618,4,7042.15,2,5,4,4,254,At Risk
98002,2019-05-02,661,3,5283.76,2,4,4,4,244,At Risk
98185,2019-09-11,529,1,899.95,3,1,2,2,312,Need Attention
98583,2019-01-24,759,1,1832.72,2,1,2,2,212,About To Sleep
99189,2017-06-07,1355,1,276.0,1,1,1,1,111,Lost
99711,2019-07-24,578,2,2176.4,3,2,3,2,323,Need Attention
99810,2020-05-26,271,2,4993.22,5,2,4,3,524,Potential Loyalists
99988,2019-06-03,629,2,7592.9400000000005,2,2,5,4,225,At Risk
100040,2018-08-30,906,1,4158.0,1,1,4,2,114,Lost
100092,2020-08-14,191,4,9238.699999999999,5,5,5,5,555,Champions
100361,2020-01-01,417,1,9.99,4,1,1,1,411,New Customers
100386,2019-10-12,498,1,2240.62,3,1,3,2,313,Need Attention
101064,2019-04-27,666,1,349.39,2,1,1,1,211,About To Sleep
101100,2019-09-24,516,1,6565.7,3,1,4,2,314,Need Attention
102466,2019-02-15,737,2,1770.99,2,2,2,2,222,About To Sleep
102503,2017-05-26,1367,1,12608.48,1,1,5,3,115,At Risk
102817,2019-08-17,554,1,673.44,3,1,1,1,311,Promising
104456,2019-10-22,488,3,4112.67,3,4,4,4,344,Loyal Customers
