cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
2016-11,210.0,8.0,5.0,6.0,2.0,0.0,6.0,4.0,7.0,3.0,5.0,6.0,4.0,4.0,16.0,6.0,4.0,0.0,9.0,7.0,8.0,9.0,8.0,8.0,10.0,16.0,14.0,15.0,6.0,1.0,10.0,8.0,13.0,12.0,15.0,16.0,12.0,18.0,14.0,21.0,2.0,0.0,6.0,7.0,6.0,2.0,5.0,4.0,3.0,7.0,4.0,5.0,,,,,,,,,,
2016-12,338.0,4.0,10.0,4.0,0.0,12.0,5.0,7.0,7.0,11.0,8.0,9.0,15.0,6.0,16.0,9.0,1.0,12.0,10.0,11.0,10.0,15.0,17.0,15.0,27.0,23.0,24.0,9.0,2.0,27.0,27.0,14.0,14.0,20.0,19.0,17.0,29.0,28.0,29.0,8.0,2.0,19.0,6.0,7.0,4.0,4.0,5.0,5.0,9.0,5.0,8.0,,,,,,,,,,,
2017-01,247.0,3.0,4.0,0.0,6.0,6.0,6.0,5.0,3.0,6.0,5.0,11.0,8.0,8.0,3.0,1.0,6.0,8.0,5.0,7.0,14.0,12.0,15.0,21.0,22.0,20.0,7.0,1.0,11.0,12.0,11.0,16.0,12.0,23.0,13.0,16.0,22.0,16.0,7.0,0.0,6.0,7.0,5.0,1.0,4.0,2.0,2.0,5.0,4.0,5.0,,,,,,,,,,,,
2017-02,283.0,1.0,0.0,5.0,4.0,2.0,4.0,5.0,5.0,10.0,9.0,10.0,12.0,2.0,0.0,7.0,10.0,7.0,10.0,10.0,16.0,10.0,20.0,11.0,15.0,10.0,2.0,15.0,18.0,15.0,11.0,12.0,11.0,13.0,22.0,27.0,26.0,8.0,0.0,12.0,14.0,2.0,5.0,7.0,3.0,3.0,9.0,2.0,4.0,,,,,,,,,,,,,
2017-03,98.0,0.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,5.0,3.0,1.0,0.0,4.0,3.0,4.0,6.0,5.0,3.0,7.0,5.0,8.0,4.0,3.0,1.0,5.0,8.0,8.0,8.0,6.0,3.0,6.0,5.0,7.0,4.0,1.0,0.0,3.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
2017-04,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2017-05,184.0,3.0,4.0,1.0,3.0,8.0,7.0,4.0,7.0,9.0,3.0,1.0,2.0,5.0,4.0,9.0,11.0,9.0,8.0,8.0,13.0,13.0,6.0,1.0,17.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,25.0,17.0,2.0,4.0,5.0,6.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,
2017-06,194.0,4.0,3.0,5.0,2.0,7.0,8.0,7.0,6.0,4.0,1.0,9.0,6.0,13.0,8.0,10.0,13.0,8.0,14.0,16.0,13.0,7.0,3.0,15.0,13.0,11.0,15.0,7.0,11.0,9.0,15.0,13.0,16.0,3.0,1.0,3.0,3.0,0.0,2.0,6.0,0.0,2.0,7.0,5.0,3.0,,,,,,,,,,,,,,,,,
2017-07,168.0,2.0,3.0,2.0,4.0,12.0,5.0,5.0,3.0,0.0,3.0,4.0,8.0,4.0,4.0,5.0,4.0,14.0,11.0,8.0,4.0,0.0,7.0,12.0,10.0,13.0,4.0,5.0,12.0,11.0,11.0,6.0,1.0,2.0,7.0,6.0,5.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,
2017-08,194.0,4.0,6.0,6.0,7.0,6.0,11.0,0.0,0.0,7.0,6.0,5.0,8.0,8.0,6.0,16.0,14.0,8.0,9.0,5.0,1.0,15.0,7.0,11.0,9.0,7.0,16.0,12.0,15.0,13.0,14.0,6.0,3.0,6.0,2.0,3.0,5.0,5.0,1.0,1.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
2017-09,196.0,2.0,9.0,3.0,8.0,9.0,2.0,1.0,5.0,2.0,7.0,9.0,7.0,8.0,5.0,10.0,13.0,15.0,6.0,1.0,10.0,9.0,5.0,7.0,16.0,6.0,9.0,21.0,5.0,21.0,7.0,3.0,7.0,5.0,4.0,5.0,1.0,2.0,0.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
2017-10,203.0,2.0,2.0,9.0,5.0,1.0,0.0,5.0,12.0,9.0,7.0,8.0,5.0,8.0,19.0,13.0,15.0,13.0,0.0,11.0,11.0,15.0,16.0,12.0,12.0,11.0,23.0,5.0,19.0,3.0,1.0,7.0,4.0,3.0,4.0,2.0,1.0,2.0,7.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,
2017-11,215.0,6.0,13.0,4.0,0.0,1.0,3.0,13.0,8.0,10.0,8.0,7.0,7.0,13.0,9.0,13.0,7.0,3.0,19.0,9.0,10.0,9.0,6.0,17.0,13.0,15.0,21.0,12.0,1.0,2.0,6.0,2.0,5.0,2.0,1.0,3.0,4.0,5.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,
2017-12,373.0,6.0,8.0,8.0,1.0,19.0,13.0,12.0,16.0,14.0,14.0,16.0,32.0,19.0,21.0,14.0,2.0,13.0,26.0,21.0,24.0,17.0,24.0,26.0,29.0,32.0,23.0,9.0,4.0,9.0,10.0,6.0,7.0,3.0,3.0,4.0,6.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
2018-01,257.0,4.0,1.0,1.0,12.0,4.0,7.0,15.0,7.0,13.0,8.0,16.0,22.0,10.0,9.0,0.0,11.0,20.0,12.0,9.0,16.0,15.0,13.0,24.0,17.0,21.0,2.0,4.0,4.0,9.0,8.0,3.0,3.0,2.0,1.0,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-02,318.0,5.0,1.0,10.0,8.0,9.0,13.0,12.0,14.0,18.0,30.0,17.0,14.0,10.0,1.0,18.0,15.0,10.0,16.0,24.0,19.0,22.0,33.0,23.0,22.0,13.0,0.0,12.0,7.0,6.0,8.0,5.0,3.0,3.0,10.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03,112.0,1.0,1.0,8.0,1.0,1.0,4.0,7.0,9.0,11.0,4.0,10.0,1.0,0.0,2.0,5.0,8.0,7.0,4.0,6.0,5.0,11.0,13.0,4.0,4.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04,23.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05,275.0,8.0,6.0,4.0,6.0,14.0,13.0,22.0,14.0,18.0,6.0,2.0,10.0,24.0,12.0,12.0,11.0,17.0,12.0,22.0,13.0,20.0,7.0,1.0,11.0,4.0,3.0,4.0,3.0,5.0,3.0,7.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06,264.0,12.0,9.0,8.0,8.0,9.0,22.0,19.0,17.0,3.0,1.0,16.0,12.0,14.0,18.0,15.0,19.0,14.0,23.0,21.0,21.0,11.0,0.0,6.0,7.0,6.0,1.0,7.0,3.0,4.0,9.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07,237.0,5.0,12.0,13.0,10.0,21.0,12.0,20.0,7.0,3.0,14.0,14.0,13.0,18.0,17.0,18.0,18.0,25.0,21.0,18.0,7.0,2.0,14.0,9.0,1.0,3.0,3.0,4.0,2.0,5.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08,276.0,16.0,14.0,13.0,25.0,15.0,16.0,11.0,0.0,18.0,11.0,17.0,14.0,15.0,18.0,11.0,25.0,15.0,26.0,6.0,2.0,6.0,9.0,5.0,1.0,3.0,4.0,3.0,9.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09,277.0,14.0,14.0,24.0,13.0,20.0,4.0,0.0,20.0,16.0,12.0,12.0,18.0,10.0,15.0,30.0,18.0,23.0,9.0,2.0,7.0,3.0,5.0,2.0,3.0,5.0,0.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10,288.0,11.0,24.0,20.0,20.0,4.0,3.0,19.0,14.0,18.0,12.0,11.0,20.0,8.0,25.0,19.0,18.0,6.0,4.0,13.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11,295.0,19.0,13.0,18.0,5.0,2.0,15.0,19.0,9.0,17.0,20.0,11.0,14.0,24.0,13.0,21.0,10.0,1.0,6.0,5.0,6.0,6.0,4.0,1.0,4.0,6.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12,482.0,23.0,30.0,11.0,2.0,25.0,22.0,24.0,24.0,26.0,24.0,24.0,42.0,36.0,52.0,13.0,2.0,8.0,9.0,9.0,8.0,6.0,5.0,4.0,10.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01,373.0,26.0,9.0,0.0,21.0,17.0,13.0,27.0,17.0,24.0,25.0,44.0,31.0,24.0,9.0,5.0,7.0,13.0,3.0,1.0,5.0,6.0,4.0,10.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02,382.0,12.0,3.0,27.0,20.0,19.0,14.0,23.0,28.0,25.0,33.0,24.0,21.0,10.0,1.0,14.0,10.0,6.0,11.0,4.0,4.0,2.0,10.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03,135.0,0.0,7.0,6.0,5.0,5.0,11.0,7.0,3.0,10.0,9.0,7.0,1.0,0.0,5.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04,31.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05,259.0,8.0,7.0,9.0,10.0,12.0,14.0,10.0,22.0,21.0,6.0,0.0,7.0,4.0,4.0,4.0,5.0,1.0,0.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06,248.0,18.0,11.0,9.0,15.0,11.0,21.0,21.0,14.0,7.0,1.0,9.0,6.0,2.0,5.0,2.0,5.0,2.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07,229.0,10.0,6.0,11.0,9.0,16.0,17.0,12.0,6.0,0.0,9.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08,231.0,12.0,12.0,11.0,16.0,6.0,13.0,4.0,2.0,6.0,5.0,5.0,8.0,2.0,4.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09,234.0,17.0,14.0,17.0,13.0,21.0,5.0,1.0,6.0,7.0,4.0,5.0,0.0,5.0,1.0,7.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10,205.0,5.0,11.0,13.0,16.0,7.0,0.0,9.0,3.0,6.0,0.0,3.0,1.0,2.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11,220.0,19.0,16.0,14.0,4.0,0.0,6.0,8.0,5.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12,285.0,18.0,19.0,8.0,1.0,9.0,10.0,6.0,4.0,3.0,3.0,3.0,7.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,215.0,15.0,2.0,1.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02,235.0,3.0,0.0,3.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05,101.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06,68.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07,47.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09,31.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10,38.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11,33.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12,64.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
